,cond,std,N
1,0.46473083497356754,0.33060537101026405,759
2,0.5278878495087569,0.2965699798774434,827
3,0.5778523501421312,0.26095402974961524,791
4,0.49582696048470287,0.3653401503165489,899
6,0.424731818786991,0.4104131327275902,767
7,0.5732642681540678,0.1404124312077421,759
8,0.622650415220595,0.4320857637659577,899
9,0.7577376009834859,0.3188069753742745,904
10,0.8000021406150302,0.26898762727526404,776
11,1.0822851859476235,0.28745464285559413,872
12,1.086798760033998,0.3366637696738006,904
13,1.251744504434804,0.36525468202197475,940
14,1.2546487037740204,0.27479441320286424,904
15,1.5988371090101083,0.3210411249441927,940
