,cond,std,N
1,0.6621480344928364,3.605889373132324,2853
2,0.4740222852157812,7.160307997145573,2725
3,1.4160105640256468,2.464663438039621,2533
4,1.6094639748104942,2.098900415593122,2533
6,1.5377144709909236,1.806882473079835,1869
7,1.9711734360121438,1.6405157441111597,2173
8,2.004490166400169,2.222010439360566,2117
9,2.1169361924775307,7.067818812946486,2469
10,3.2097261193172173,1.9451671057117583,2341
11,3.7302807953429307,2.170712883089486,2277
12,4.616234375221193,2.118981810551982,2221
13,4.454244268013615,2.4027319547858585,2277
14,5.841377088742214,1.6799581251051015,2405
15,6.281321181018717,2.7413046660529594,2533
