frequency	e'	e''
 100000000.0000	  55.5792	   9.4823
 108000000.0000	  53.3860	  10.3883
 116000000.0000	  54.5404	   9.8394
 124000000.0000	  53.9946	   9.8730
 132000000.0000	  54.1166	   9.9850
 140000000.0000	  53.5281	  10.3429
 148000000.0000	  54.4191	   9.1857
 156000000.0000	  53.1574	   9.9245
 164000000.0000	  52.9415	   9.7073
 172000000.0000	  53.1528	   9.3924
 180000000.0000	  52.7541	   9.6120
 188000000.0000	  52.5145	   9.7920
 196000000.0000	  52.7851	   9.3611
 204000000.0000	  52.5226	   9.6086
 212000000.0000	  51.5772	  10.1348
 220000000.0000	  51.0564	  10.4887
 228000000.0000	  51.5477	  10.2049
 236000000.0000	  51.3398	  10.4126
 244000000.0000	  50.8438	  10.7835
 252000000.0000	  51.7568	  10.1052
 260000000.0000	  51.1737	  10.4135
 268000000.0000	  51.0815	  10.4326
 276000000.0000	  50.9064	  10.3375
 284000000.0000	  50.5042	  10.5169
 292000000.0000	  49.6768	  10.9112
 300000000.0000	  50.0291	  10.6247
 308000000.0000	  50.0772	  10.5853
 316000000.0000	  49.3971	  11.1001
 324000000.0000	  49.1828	  11.1173
 332000000.0000	  49.1869	  11.0416
 340000000.0000	  49.4528	  11.1440
 348000000.0000	  48.7417	  11.3560
 356000000.0000	  48.9679	  11.1235
 364000000.0000	  49.0512	  11.0623
 372000000.0000	  48.5230	  11.5225
 380000000.0000	  48.7272	  11.1268
 388000000.0000	  48.7800	  11.5573
 396000000.0000	  48.0466	  11.5940
 404000000.0000	  47.8432	  11.6298
 412000000.0000	  47.6368	  11.7438
 420000000.0000	  47.5709	  11.9859
 428000000.0000	  47.4676	  11.6717
 436000000.0000	  47.0057	  12.0186
 444000000.0000	  46.9602	  12.0182
 452000000.0000	  47.4685	  11.7689
 460000000.0000	  47.0600	  11.9771
 468000000.0000	  46.8384	  12.0218
 476000000.0000	  46.8543	  12.0424
 484000000.0000	  46.6346	  12.0940
 492000000.0000	  46.1480	  12.3783
 500000000.0000	  46.2544	  12.3220
 508000000.0000	  46.2659	  12.1927
 516000000.0000	  46.2108	  12.2019
 524000000.0000	  45.9946	  12.4190
 532000000.0000	  46.1298	  12.2839
 540000000.0000	  45.8265	  12.5134
 548000000.0000	  45.5751	  12.6944
 556000000.0000	  45.4630	  12.6974
 564000000.0000	  45.6893	  12.5152
 572000000.0000	  45.2951	  12.6342
 580000000.0000	  45.4140	  12.6190
 588000000.0000	  45.0133	  12.8050
 596000000.0000	  44.6573	  12.7903
 604000000.0000	  44.8959	  12.8732
 612000000.0000	  44.5229	  13.0352
 620000000.0000	  44.4535	  12.8781
 628000000.0000	  44.5771	  13.1036
 636000000.0000	  45.0497	  12.9392
 644000000.0000	  44.3778	  12.9934
 652000000.0000	  44.4018	  13.1695
 660000000.0000	  44.2508	  13.1223
 668000000.0000	  44.0679	  13.2056
 676000000.0000	  44.2417	  13.0804
 684000000.0000	  43.6017	  13.3280
 692000000.0000	  43.5540	  13.1423
 700000000.0000	  43.5705	  13.4423
 708000000.0000	  43.6587	  13.2120
 716000000.0000	  43.3042	  13.4721
 724000000.0000	  43.6994	  13.4165
 732000000.0000	  43.3160	  13.3694
 740000000.0000	  42.8482	  13.5181
 748000000.0000	  43.4088	  13.4351
 756000000.0000	  42.5836	  13.4938
 764000000.0000	  42.8555	  13.4274
 772000000.0000	  42.6705	  13.6338
 780000000.0000	  42.5071	  13.4446
 788000000.0000	  42.4647	  13.5939
 796000000.0000	  42.3299	  13.7642
 804000000.0000	  42.1303	  13.5984
 812000000.0000	  42.0602	  13.7689
 820000000.0000	  42.4683	  13.6808
 828000000.0000	  41.7323	  13.7089
 836000000.0000	  42.0979	  13.6848
 844000000.0000	  41.6847	  13.8366
 852000000.0000	  41.8219	  13.7802
 860000000.0000	  41.6320	  13.8324
 868000000.0000	  41.5440	  13.9922
 876000000.0000	  41.4322	  13.8225
 884000000.0000	  41.3608	  13.9130
 892000000.0000	  41.5878	  13.9263
 900000000.0000	  40.9216	  13.9917
