frequency	e'	e''
 100000000.0000	  78.1787	 138.8644
 108000000.0000	  82.3794	 132.0560
 116000000.0000	  83.7879	 124.8747
 124000000.0000	  82.9682	 124.1045
 132000000.0000	  77.8413	 119.4071
 140000000.0000	  72.9399	 111.9823
 148000000.0000	  72.1663	 104.0618
 156000000.0000	  71.0975	  94.7361
 164000000.0000	  74.2151	  87.9182
 172000000.0000	  78.1190	  84.5032
 180000000.0000	  80.4123	  83.4733
 188000000.0000	  79.8605	  83.4333
 196000000.0000	  78.7338	  82.3311
 204000000.0000	  74.4841	  79.4169
 212000000.0000	  72.3967	  74.8020
 220000000.0000	  70.6572	  69.7462
 228000000.0000	  72.5495	  65.1464
 236000000.0000	  75.2396	  61.9438
 244000000.0000	  76.8047	  61.6198
 252000000.0000	  77.6890	  62.7866
 260000000.0000	  76.3952	  62.8993
 268000000.0000	  74.7399	  62.3530
 276000000.0000	  73.3706	  60.2578
 284000000.0000	  71.6822	  56.7009
 292000000.0000	  72.6000	  52.5023
 300000000.0000	  73.9835	  50.6431
 308000000.0000	  75.5602	  49.7752
 316000000.0000	  76.1327	  50.3515
 324000000.0000	  75.6547	  51.1857
 332000000.0000	  74.4247	  51.5036
 340000000.0000	  72.7999	  50.2282
 348000000.0000	  71.9647	  47.9986
 356000000.0000	  71.9808	  45.8242
 364000000.0000	  73.4005	  43.5635
 372000000.0000	  74.5734	  42.6033
 380000000.0000	  75.4434	  42.7533
 388000000.0000	  75.2511	  43.4081
 396000000.0000	  74.2582	  43.5718
 404000000.0000	  72.2374	  43.3101
 412000000.0000	  71.4098	  41.8707
 420000000.0000	  71.7133	  39.8392
 428000000.0000	  72.1332	  38.5385
 436000000.0000	  73.9047	  37.6513
 444000000.0000	  75.4814	  37.7635
 452000000.0000	  75.4977	  38.2894
 460000000.0000	  74.4369	  38.9453
 468000000.0000	  73.7346	  38.4097
 476000000.0000	  71.4171	  37.4094
 484000000.0000	  71.3717	  35.8079
 492000000.0000	  71.5424	  34.1842
 500000000.0000	  72.0017	  33.5628
 508000000.0000	  73.3782	  33.5470
 516000000.0000	  74.3035	  34.1791
 524000000.0000	  74.1157	  34.8387
 532000000.0000	  73.7716	  34.9093
 540000000.0000	  72.5472	  34.0185
 548000000.0000	  71.8604	  33.2169
 556000000.0000	  71.9817	  31.4531
 564000000.0000	  72.2466	  30.3715
 572000000.0000	  72.1546	  30.0454
 580000000.0000	  73.4104	  30.2258
 588000000.0000	  72.3205	  30.9704
 596000000.0000	  72.3867	  31.3166
 604000000.0000	  71.7350	  31.4875
 612000000.0000	  71.4196	  30.5974
 620000000.0000	  71.4425	  29.7449
 628000000.0000	  72.3665	  28.6890
 636000000.0000	  73.0935	  27.9923
 644000000.0000	  73.1910	  28.1739
 652000000.0000	  73.7682	  28.4829
 660000000.0000	  72.2911	  28.8786
 668000000.0000	  71.7387	  28.7998
 676000000.0000	  70.6443	  28.5669
 684000000.0000	  69.9528	  27.6395
 692000000.0000	  70.9421	  26.7465
 700000000.0000	  71.6949	  26.5542
 708000000.0000	  72.6961	  26.1943
 716000000.0000	  73.2109	  26.9106
 724000000.0000	  73.5991	  27.1764
 732000000.0000	  72.3821	  27.1839
 740000000.0000	  71.3767	  27.0084
 748000000.0000	  71.0626	  25.9143
 756000000.0000	  69.9814	  25.0477
 764000000.0000	  70.7977	  24.2344
 772000000.0000	  71.1869	  24.3513
 780000000.0000	  71.8340	  24.5100
 788000000.0000	  72.1572	  25.2772
 796000000.0000	  71.9657	  25.8915
 804000000.0000	  71.4834	  25.7347
 812000000.0000	  70.9886	  25.2738
 820000000.0000	  71.2524	  24.0718
 828000000.0000	  70.6646	  23.2104
 836000000.0000	  71.4846	  22.5577
 844000000.0000	  71.7072	  22.6486
 852000000.0000	  71.4931	  23.0481
 860000000.0000	  71.2829	  23.8365
 868000000.0000	  70.5470	  24.2376
 876000000.0000	  69.9778	  23.8646
 884000000.0000	  69.9912	  23.4924
 892000000.0000	  70.7640	  22.6501
 900000000.0000	  70.9086	  22.1469
