frequency	e'	e''
 100000000.0000	  78.7569	 -26.1948
 108000000.0000	  85.3817	 -22.0073
 116000000.0000	  87.1629	 -14.8170
 124000000.0000	  84.8890	  -8.7593
 132000000.0000	  79.4398	  -5.5540
 140000000.0000	  74.3063	  -6.1909
 148000000.0000	  72.5550	 -10.4917
 156000000.0000	  73.2470	 -13.4740
 164000000.0000	  77.2040	 -15.0848
 172000000.0000	  81.9086	 -13.6933
 180000000.0000	  84.6219	  -9.9294
 188000000.0000	  83.8448	  -5.0721
 196000000.0000	  82.0679	  -3.7142
 204000000.0000	  77.8489	  -3.1109
 212000000.0000	  75.0444	  -5.3840
 220000000.0000	  74.5760	  -8.6769
 228000000.0000	  76.5570	 -10.8927
 236000000.0000	  79.6051	 -10.9649
 244000000.0000	  82.2083	  -8.6089
 252000000.0000	  83.0370	  -5.3496
 260000000.0000	  81.4461	  -2.0916
 268000000.0000	  79.4672	  -1.4181
 276000000.0000	  77.6260	  -2.6470
 284000000.0000	  76.1073	  -4.6022
 292000000.0000	  77.2736	  -7.2310
 300000000.0000	  78.6708	  -7.8819
 308000000.0000	  80.3617	  -6.9659
 316000000.0000	  81.5112	  -4.8162
 324000000.0000	  81.3586	  -2.7688
 332000000.0000	  79.6009	  -1.0265
 340000000.0000	  78.6165	  -1.2137
 348000000.0000	  77.5680	  -2.7278
 356000000.0000	  77.6374	  -3.9869
 364000000.0000	  78.8968	  -4.8649
 372000000.0000	  80.5287	  -4.6787
 380000000.0000	  81.6622	  -3.7713
 388000000.0000	  81.4563	  -2.1273
 396000000.0000	  80.2087	  -1.0966
 404000000.0000	  78.4609	  -0.7159
 412000000.0000	  77.2659	  -1.4234
 420000000.0000	  77.2449	  -2.7708
 428000000.0000	  78.6393	  -3.7497
 436000000.0000	  80.3439	  -3.7346
 444000000.0000	  81.9586	  -2.4851
 452000000.0000	  82.2862	  -1.1891
 460000000.0000	  81.6834	   0.1589
 468000000.0000	  79.9916	   0.3243
 476000000.0000	  77.9722	  -0.0253
 484000000.0000	  77.5747	  -1.5873
 492000000.0000	  77.8231	  -2.8652
 500000000.0000	  78.9385	  -3.0285
 508000000.0000	  80.2842	  -2.4383
 516000000.0000	  81.2816	  -1.2040
 524000000.0000	  81.3546	   0.2205
 532000000.0000	  80.7104	   1.0186
 540000000.0000	  79.8135	   0.6951
 548000000.0000	  78.7622	   0.1073
 556000000.0000	  78.8694	  -1.0323
 564000000.0000	  79.6431	  -2.3486
 572000000.0000	  79.5578	  -1.9191
 580000000.0000	  80.8745	  -1.5271
 588000000.0000	  80.1992	  -0.0229
 596000000.0000	  79.8078	   0.5804
 604000000.0000	  79.1919	   1.1551
 612000000.0000	  78.7436	   0.4896
 620000000.0000	  78.5617	  -0.0076
 628000000.0000	  79.7558	  -0.7166
 636000000.0000	  80.5998	  -1.2350
 644000000.0000	  80.9413	  -0.4353
 652000000.0000	  81.5744	   0.0612
 660000000.0000	  80.0007	   1.1158
 668000000.0000	  79.3931	   1.1036
 676000000.0000	  78.2312	   1.1068
 684000000.0000	  77.5127	   0.4635
 692000000.0000	  78.5192	  -0.5148
 700000000.0000	  79.5223	  -0.3837
 708000000.0000	  80.5886	  -0.3216
 716000000.0000	  81.2708	   0.8590
 724000000.0000	  81.6237	   1.3785
 732000000.0000	  80.2142	   1.9463
 740000000.0000	  79.4166	   1.8034
 748000000.0000	  78.6118	   1.0045
 756000000.0000	  77.7904	   0.3281
 764000000.0000	  78.6216	  -0.6172
 772000000.0000	  79.2597	  -0.2766
 780000000.0000	  79.9393	   0.1798
 788000000.0000	  80.3455	   1.3151
 796000000.0000	  80.3046	   2.1404
 804000000.0000	  79.4558	   2.3853
 812000000.0000	  79.1020	   2.0609
 820000000.0000	  79.1537	   0.9884
 828000000.0000	  78.6885	   0.4976
 836000000.0000	  79.6327	  -0.2195
 844000000.0000	  79.8759	   0.1938
 852000000.0000	  79.8434	   0.8228
 860000000.0000	  79.6427	   1.7522
 868000000.0000	  78.6744	   2.4332
 876000000.0000	  78.1601	   2.1752
 884000000.0000	  78.0188	   2.0126
 892000000.0000	  78.7165	   1.0530
 900000000.0000	  79.1861	   0.9119
