frequency	e'	e''
 100000000.0000	  80.5386	   8.6397
 108000000.0000	  80.4384	   8.2593
 116000000.0000	  80.6538	   8.0395
 124000000.0000	  78.5186	   8.8622
 132000000.0000	  80.4365	   6.9602
 140000000.0000	  78.9323	   8.1041
 148000000.0000	  81.4516	   5.3160
 156000000.0000	  80.5418	   6.3997
 164000000.0000	  80.2853	   6.2353
 172000000.0000	  80.2654	   5.6728
 180000000.0000	  80.4839	   5.7003
 188000000.0000	  80.4608	   5.6533
 196000000.0000	  80.2732	   5.4149
 204000000.0000	  81.0428	   4.4575
 212000000.0000	  80.3805	   5.0757
 220000000.0000	  80.3444	   4.8284
 228000000.0000	  79.9536	   5.4869
 236000000.0000	  80.3011	   4.7871
 244000000.0000	  80.1377	   4.4336
 252000000.0000	  80.3411	   4.6160
 260000000.0000	  80.3023	   4.6570
 268000000.0000	  80.4608	   4.4006
 276000000.0000	  80.3550	   4.3575
 284000000.0000	  80.4264	   4.3923
 292000000.0000	  80.4202	   4.3527
 300000000.0000	  79.8786	   4.6275
 308000000.0000	  80.9717	   3.8796
 316000000.0000	  80.9879	   3.6371
 324000000.0000	  79.9970	   4.6400
 332000000.0000	  80.2330	   4.1442
 340000000.0000	  80.3913	   4.1147
 348000000.0000	  80.3489	   4.2245
 356000000.0000	  79.8774	   4.4574
 364000000.0000	  80.7755	   3.7263
 372000000.0000	  80.1098	   4.4549
 380000000.0000	  80.2931	   4.0797
 388000000.0000	  80.3891	   4.0158
 396000000.0000	  80.5235	   4.1216
 404000000.0000	  80.3204	   3.9905
 412000000.0000	  80.0970	   4.3193
 420000000.0000	  80.2912	   4.0813
 428000000.0000	  79.8862	   4.2604
 436000000.0000	  80.3009	   4.1121
 444000000.0000	  80.7919	   4.0252
 452000000.0000	  80.4042	   4.0947
 460000000.0000	  80.3403	   4.0088
 468000000.0000	  80.3774	   4.1316
 476000000.0000	  80.2273	   4.0755
 484000000.0000	  80.3873	   4.0218
 492000000.0000	  80.6230	   4.0813
 500000000.0000	  80.1364	   4.0166
 508000000.0000	  80.1846	   4.0769
 516000000.0000	  80.3901	   3.8116
 524000000.0000	  80.5796	   4.1909
 532000000.0000	  80.4123	   3.8840
 540000000.0000	  80.1419	   4.3137
 548000000.0000	  80.1495	   4.2172
 556000000.0000	  79.9585	   4.3643
 564000000.0000	  80.8544	   3.9607
 572000000.0000	  80.7693	   3.8646
 580000000.0000	  79.7944	   4.2384
 588000000.0000	  80.8034	   3.9990
 596000000.0000	  80.1221	   4.2228
 604000000.0000	  80.0139	   4.0700
 612000000.0000	  80.0640	   4.5018
 620000000.0000	  79.9862	   4.1151
 628000000.0000	  79.4909	   4.6040
 636000000.0000	  80.3584	   4.4134
 644000000.0000	  79.9464	   4.1221
 652000000.0000	  79.4667	   4.7822
 660000000.0000	  80.5448	   4.1915
 668000000.0000	  79.4343	   4.7078
 676000000.0000	  80.5151	   4.2219
 684000000.0000	  79.9945	   4.6808
 692000000.0000	  79.8118	   4.2581
 700000000.0000	  79.9945	   4.7655
 708000000.0000	  80.2052	   4.5780
 716000000.0000	  79.3820	   4.7701
 724000000.0000	  80.2703	   4.7116
 732000000.0000	  80.4184	   4.4346
 740000000.0000	  79.3177	   4.8888
 748000000.0000	  80.4632	   4.5296
 756000000.0000	  79.6149	   4.9413
 764000000.0000	  79.4262	   4.7416
 772000000.0000	  80.0282	   4.7466
 780000000.0000	  79.7451	   4.7038
 788000000.0000	  79.6396	   4.5579
 796000000.0000	  79.7831	   5.0248
 804000000.0000	  79.9183	   4.6001
 812000000.0000	  79.2670	   5.1146
 820000000.0000	  80.1281	   4.9770
 828000000.0000	  79.8293	   4.8669
 836000000.0000	  79.6021	   5.0342
 844000000.0000	  80.0825	   5.0174
 852000000.0000	  79.8604	   5.0464
 860000000.0000	  79.7419	   4.8766
 868000000.0000	  79.8383	   5.3004
 876000000.0000	  79.7348	   5.1382
 884000000.0000	  79.4055	   5.1596
 892000000.0000	  79.9326	   5.2773
 900000000.0000	  79.6132	   5.1951
