frequency	e'	e''
 100000000.0000	  78.2893	 103.9672
 108000000.0000	  78.9734	  97.0528
 116000000.0000	  78.3743	  89.3137
 124000000.0000	  79.1771	  86.2142
 132000000.0000	  78.5260	  81.4939
 140000000.0000	  78.0979	  77.2618
 148000000.0000	  78.6156	  73.4549
 156000000.0000	  76.1662	  69.6832
 164000000.0000	  76.9407	  65.5810
 172000000.0000	  77.1128	  62.6161
 180000000.0000	  77.4319	  60.1115
 188000000.0000	  77.0618	  57.9974
 196000000.0000	  78.1394	  56.4379
 204000000.0000	  77.0069	  54.7180
 212000000.0000	  76.2281	  53.3611
 220000000.0000	  76.4849	  50.8721
 228000000.0000	  76.6797	  48.9167
 236000000.0000	  77.0754	  46.7349
 244000000.0000	  76.5624	  45.4863
 252000000.0000	  76.8626	  44.7033
 260000000.0000	  76.2900	  43.6597
 268000000.0000	  75.5431	  43.1603
 276000000.0000	  76.2018	  42.0691
 284000000.0000	  75.1196	  40.6645
 292000000.0000	  75.6685	  39.1828
 300000000.0000	  75.5258	  38.3879
 308000000.0000	  75.8274	  37.5273
 316000000.0000	  76.0905	  36.8922
 324000000.0000	  75.9354	  36.5509
 332000000.0000	  76.0313	  35.8153
 340000000.0000	  75.3650	  35.3777
 348000000.0000	  75.3265	  34.2215
 356000000.0000	  74.8577	  33.4256
 364000000.0000	  74.7630	  32.5303
 372000000.0000	  74.6246	  31.8173
 380000000.0000	  74.8233	  31.5004
 388000000.0000	  75.0271	  31.2497
 396000000.0000	  75.0506	  31.0664
 404000000.0000	  74.8250	  30.9019
 412000000.0000	  75.0242	  30.2622
 420000000.0000	  75.4318	  29.3645
 428000000.0000	  75.5171	  28.7634
 436000000.0000	  75.5610	  28.1613
 444000000.0000	  75.2794	  27.7886
 452000000.0000	  75.3755	  27.4833
 460000000.0000	  74.9722	  27.3220
 468000000.0000	  74.6290	  27.0460
 476000000.0000	  73.9634	  27.0266
 484000000.0000	  74.3052	  26.4302
 492000000.0000	  74.2686	  26.0097
 500000000.0000	  74.5722	  25.7938
 508000000.0000	  74.7451	  25.5858
 516000000.0000	  75.1331	  25.1580
 524000000.0000	  75.4994	  24.9418
 532000000.0000	  75.1633	  24.8123
 540000000.0000	  74.6736	  24.1139
 548000000.0000	  74.6175	  24.0912
 556000000.0000	  74.1111	  23.6038
 564000000.0000	  73.6948	  23.3923
 572000000.0000	  73.6032	  23.0182
 580000000.0000	  73.9893	  23.1152
 588000000.0000	  73.4149	  23.1153
 596000000.0000	  74.3254	  22.8891
 604000000.0000	  74.2617	  22.9764
 612000000.0000	  74.3339	  22.4181
 620000000.0000	  74.1768	  22.2686
 628000000.0000	  74.2232	  21.7386
 636000000.0000	  73.9970	  21.4009
 644000000.0000	  74.0845	  21.0894
 652000000.0000	  73.8049	  21.3024
 660000000.0000	  73.3481	  21.3364
 668000000.0000	  73.2851	  21.3649
 676000000.0000	  72.9596	  21.4739
 684000000.0000	  72.9797	  21.0611
 692000000.0000	  73.4408	  20.9200
 700000000.0000	  73.7615	  20.5780
 708000000.0000	  74.1388	  20.2695
 716000000.0000	  74.3092	  20.0359
 724000000.0000	  74.2449	  20.0089
 732000000.0000	  73.9734	  19.8759
 740000000.0000	  73.4551	  19.8504
 748000000.0000	  73.0207	  19.8445
 756000000.0000	  72.6951	  19.5680
 764000000.0000	  72.6512	  19.5679
 772000000.0000	  72.7050	  19.3799
 780000000.0000	  73.1096	  19.4044
 788000000.0000	  73.4956	  19.3567
 796000000.0000	  73.7210	  19.2731
 804000000.0000	  73.8939	  19.1542
 812000000.0000	  73.6889	  18.9586
 820000000.0000	  73.4988	  18.7033
 828000000.0000	  73.2448	  18.3497
 836000000.0000	  73.0113	  18.2432
 844000000.0000	  72.6027	  18.3299
 852000000.0000	  72.6803	  18.3146
 860000000.0000	  72.6301	  18.4898
 868000000.0000	  72.6156	  18.5322
 876000000.0000	  72.7257	  18.5624
 884000000.0000	  72.9174	  18.4289
 892000000.0000	  73.1526	  18.1415
 900000000.0000	  73.3867	  17.7766
