frequency	e'	e''
 100000000.0000	  76.4344	 344.5389
 108000000.0000	  81.1532	 320.5000
 116000000.0000	  79.2777	 295.2787
 124000000.0000	  80.4779	 284.4856
 132000000.0000	  78.7091	 269.0610
 140000000.0000	  75.8583	 253.4721
 148000000.0000	  75.5405	 241.3854
 156000000.0000	  72.4145	 224.7489
 164000000.0000	  75.0824	 212.3033
 172000000.0000	  76.5194	 202.9879
 180000000.0000	  78.8445	 195.4383
 188000000.0000	  76.2897	 188.9090
 196000000.0000	  78.5261	 183.9777
 204000000.0000	  75.8206	 176.6218
 212000000.0000	  73.2507	 169.1105
 220000000.0000	  73.0999	 161.6244
 228000000.0000	  74.3772	 155.1604
 236000000.0000	  75.3363	 148.8432
 244000000.0000	  75.4340	 144.5976
 252000000.0000	  77.0501	 142.2944
 260000000.0000	  74.6614	 139.2052
 268000000.0000	  74.5721	 136.1530
 276000000.0000	  74.6355	 132.4330
 284000000.0000	  72.4842	 127.3832
 292000000.0000	  73.8474	 122.5134
 300000000.0000	  74.1314	 119.1871
 308000000.0000	  74.4454	 116.5040
 316000000.0000	  75.4682	 114.9677
 324000000.0000	  75.5298	 112.9960
 332000000.0000	  74.1289	 111.3975
 340000000.0000	  73.7306	 108.7055
 348000000.0000	  73.5161	 105.2939
 356000000.0000	  72.7013	 102.4489
 364000000.0000	  73.7880	  99.6292
 372000000.0000	  74.1135	  97.3412
 380000000.0000	  74.3379	  96.4061
 388000000.0000	  74.8791	  95.2638
 396000000.0000	  74.1699	  93.9822
 404000000.0000	  72.7901	  92.4703
 412000000.0000	  72.6077	  90.7436
 420000000.0000	  72.9111	  88.2976
 428000000.0000	  73.1630	  86.0544
 436000000.0000	  74.2242	  84.4446
 444000000.0000	  74.5225	  83.4523
 452000000.0000	  74.9553	  82.6631
 460000000.0000	  74.0227	  82.1527
 468000000.0000	  73.4471	  80.8540
 476000000.0000	  72.2152	  79.0782
 484000000.0000	  72.0984	  77.6276
 492000000.0000	  72.1765	  75.8981
 500000000.0000	  72.5335	  74.7774
 508000000.0000	  73.2330	  73.8711
 516000000.0000	  73.6783	  73.4767
 524000000.0000	  73.9718	  73.0865
 532000000.0000	  73.4922	  72.2167
 540000000.0000	  72.6559	  70.6742
 548000000.0000	  72.5658	  69.6885
 556000000.0000	  72.1010	  67.8519
 564000000.0000	  72.4495	  66.7603
 572000000.0000	  72.2135	  65.5328
 580000000.0000	  72.8955	  65.5950
 588000000.0000	  72.1323	  65.2117
 596000000.0000	  72.3246	  65.1427
 604000000.0000	  71.8527	  64.5541
 612000000.0000	  72.0435	  63.4484
 620000000.0000	  71.7090	  62.3361
 628000000.0000	  72.2922	  61.1651
 636000000.0000	  72.7428	  60.2557
 644000000.0000	  72.7784	  59.4819
 652000000.0000	  72.9245	  59.7203
 660000000.0000	  71.8066	  59.1201
 668000000.0000	  71.3500	  58.9146
 676000000.0000	  70.6926	  58.3161
 684000000.0000	  70.4888	  57.0428
 692000000.0000	  70.9275	  56.5376
 700000000.0000	  71.6070	  55.7781
 708000000.0000	  72.2858	  55.3027
 716000000.0000	  72.5141	  55.0592
 724000000.0000	  72.8027	  55.1445
 732000000.0000	  72.0636	  54.4120
 740000000.0000	  71.2595	  53.7631
 748000000.0000	  70.7994	  53.1100
 756000000.0000	  70.3553	  51.7668
 764000000.0000	  70.6165	  51.3048
 772000000.0000	  70.9646	  50.8553
 780000000.0000	  71.3121	  50.7890
 788000000.0000	  71.4490	  50.8809
 796000000.0000	  71.3051	  50.8534
 804000000.0000	  71.2409	  50.5236
 812000000.0000	  70.7912	  49.7424
 820000000.0000	  70.9463	  48.9355
 828000000.0000	  70.6480	  47.6384
 836000000.0000	  70.8637	  47.1594
 844000000.0000	  70.5893	  46.8212
 852000000.0000	  70.8681	  46.6368
 860000000.0000	  70.5012	  46.9353
 868000000.0000	  69.9189	  46.7321
 876000000.0000	  69.4325	  46.4373
 884000000.0000	  69.2688	  45.8922
 892000000.0000	  69.8104	  45.2246
 900000000.0000	  70.0967	  44.4097
