frequency	e'	e''
 100000000.0000	  76.4952	  23.4894
 108000000.0000	  82.4143	  24.3436
 116000000.0000	  83.8383	  27.7871
 124000000.0000	  81.8670	  32.0565
 132000000.0000	  76.4956	  33.0427
 140000000.0000	  71.4253	  30.4791
 148000000.0000	  69.7332	  25.2536
 156000000.0000	  69.5947	  20.3630
 164000000.0000	  73.3727	  16.9744
 172000000.0000	  77.4248	  16.9668
 180000000.0000	  79.2665	  19.6419
 188000000.0000	  79.5162	  21.9768
 196000000.0000	  77.0683	  23.8490
 204000000.0000	  72.9420	  23.4132
 212000000.0000	  70.5078	  20.1428
 220000000.0000	  70.0508	  16.3959
 228000000.0000	  71.6665	  13.5530
 236000000.0000	  74.7470	  12.2652
 244000000.0000	  76.6220	  13.9116
 252000000.0000	  77.4868	  16.4994
 260000000.0000	  75.7925	  18.8687
 268000000.0000	  73.9727	  19.0637
 276000000.0000	  72.2146	  17.5705
 284000000.0000	  70.5237	  15.2307
 292000000.0000	  71.6734	  12.2433
 300000000.0000	  72.8167	  11.2444
 308000000.0000	  74.3247	  11.7370
 316000000.0000	  75.6988	  13.0835
 324000000.0000	  75.2183	  14.9402
 332000000.0000	  73.4310	  16.2604
 340000000.0000	  72.1271	  15.7278
 348000000.0000	  71.8420	  13.9581
 356000000.0000	  71.3867	  12.4259
 364000000.0000	  72.4363	  11.3368
 372000000.0000	  74.5442	  10.8826
 380000000.0000	  74.8621	  12.0434
 388000000.0000	  74.6900	  13.3977
 396000000.0000	  73.8926	  13.8678
 404000000.0000	  72.1514	  13.9817
 412000000.0000	  71.0725	  13.0659
 420000000.0000	  71.2237	  11.4480
 428000000.0000	  72.1129	  10.4842
 436000000.0000	  73.3598	  10.4440
 444000000.0000	  74.9742	  10.9595
 452000000.0000	  75.2535	  12.1807
 460000000.0000	  74.4220	  13.2316
 468000000.0000	  73.1407	  13.2639
 476000000.0000	  71.4219	  12.6390
 484000000.0000	  70.7893	  11.2772
 492000000.0000	  71.1122	   9.8721
 500000000.0000	  72.0078	   9.5787
 508000000.0000	  73.2819	   9.8859
 516000000.0000	  74.0340	  11.1156
 524000000.0000	  74.2356	  12.1119
 532000000.0000	  73.5933	  12.6432
 540000000.0000	  72.4795	  12.2170
 548000000.0000	  71.6139	  11.6334
 556000000.0000	  71.5342	  10.1510
 564000000.0000	  71.9094	   9.2618
 572000000.0000	  72.6662	   9.0269
 580000000.0000	  73.5366	   9.5608
 588000000.0000	  72.5827	  10.7326
 596000000.0000	  72.7518	  11.2742
 604000000.0000	  71.9158	  11.6853
 612000000.0000	  71.4159	  10.9967
 620000000.0000	  71.1871	  10.4405
 628000000.0000	  72.1945	   9.6983
 636000000.0000	  72.9325	   9.0764
 644000000.0000	  73.2736	   9.6395
 652000000.0000	  73.8843	  10.0626
 660000000.0000	  72.4247	  10.8516
 668000000.0000	  71.8729	  10.8766
 676000000.0000	  70.7710	  10.8092
 684000000.0000	  70.0392	  10.0864
 692000000.0000	  70.6815	   9.1610
 700000000.0000	  71.7879	   9.1413
 708000000.0000	  72.7352	   9.1079
 716000000.0000	  73.3071	  10.0944
 724000000.0000	  73.6154	  10.5862
 732000000.0000	  72.4671	  10.7927
 740000000.0000	  71.1744	  10.9532
 748000000.0000	  71.0258	   9.9187
 756000000.0000	  70.0525	   9.2041
 764000000.0000	  70.8830	   8.3358
 772000000.0000	  71.3963	   8.5183
 780000000.0000	  72.0071	   8.8572
 788000000.0000	  72.1797	   9.8501
 796000000.0000	  72.3221	  10.5652
 804000000.0000	  71.4837	  10.7732
 812000000.0000	  70.9845	  10.4897
 820000000.0000	  71.1026	   9.4128
 828000000.0000	  70.6403	   8.7583
 836000000.0000	  71.5419	   8.1482
 844000000.0000	  71.8221	   8.5080
 852000000.0000	  71.8381	   8.8460
 860000000.0000	  71.6584	   9.7134
 868000000.0000	  70.9162	  10.2697
 876000000.0000	  70.2024	  10.0396
 884000000.0000	  70.0770	   9.6933
 892000000.0000	  70.7084	   8.9198
 900000000.0000	  71.0677	   8.5601
