frequency	e'	e''
 100000000.0000	  79.0338	  10.0228
 108000000.0000	  79.0333	   9.1634
 116000000.0000	  81.3168	   7.7772
 124000000.0000	  80.4814	   7.5802
 132000000.0000	  81.0546	   6.8047
 140000000.0000	  81.0622	   7.0975
 148000000.0000	  82.0706	   5.6170
 156000000.0000	  81.1854	   6.1664
 164000000.0000	  80.9020	   6.1004
 172000000.0000	  80.8088	   5.6407
 180000000.0000	  81.1191	   5.4899
 188000000.0000	  81.1070	   5.4834
 196000000.0000	  81.8885	   4.4931
 204000000.0000	  81.7943	   4.3407
 212000000.0000	  80.9791	   4.9428
 220000000.0000	  80.9342	   4.7513
 228000000.0000	  81.1844	   4.6313
 236000000.0000	  80.3890	   5.4693
 244000000.0000	  81.0585	   4.4777
 252000000.0000	  81.7372	   3.8884
 260000000.0000	  80.9835	   4.6501
 268000000.0000	  81.0952	   4.4114
 276000000.0000	  81.0855	   4.3494
 284000000.0000	  80.2959	   4.8797
 292000000.0000	  80.8642	   4.3110
 300000000.0000	  80.9772	   4.2255
 308000000.0000	  80.9558	   4.2153
 316000000.0000	  82.1449	   3.6467
 324000000.0000	  81.0018	   4.2372
 332000000.0000	  80.8322	   4.1444
 340000000.0000	  80.9468	   4.0750
 348000000.0000	  80.9349	   4.1827
 356000000.0000	  80.9379	   4.0836
 364000000.0000	  81.5147	   4.1978
 372000000.0000	  80.9941	   4.1073
 380000000.0000	  81.2428	   3.6616
 388000000.0000	  80.9176	   4.0878
 396000000.0000	  81.0555	   4.1396
 404000000.0000	  80.8375	   4.0569
 412000000.0000	  80.6055	   4.4392
 420000000.0000	  80.8467	   4.1448
 428000000.0000	  80.5085	   4.3238
 436000000.0000	  80.4705	   4.4360
 444000000.0000	  80.8551	   4.0714
 452000000.0000	  81.2843	   3.8776
 460000000.0000	  80.8540	   4.1581
 468000000.0000	  80.9998	   4.0701
 476000000.0000	  80.8727	   4.1677
 484000000.0000	  80.6198	   4.4036
 492000000.0000	  80.8973	   4.1117
 500000000.0000	  80.8556	   4.1405
 508000000.0000	  81.2168	   3.8269
 516000000.0000	  81.1850	   3.8932
 524000000.0000	  81.2784	   4.2129
 532000000.0000	  81.1065	   3.9330
 540000000.0000	  81.3874	   4.3652
 548000000.0000	  80.6696	   4.5255
 556000000.0000	  80.8629	   4.2359
 564000000.0000	  81.2969	   4.3024
 572000000.0000	  81.5929	   3.9719
 580000000.0000	  80.5898	   4.2915
 588000000.0000	  81.5848	   4.1013
 596000000.0000	  80.5467	   4.5259
 604000000.0000	  80.8015	   4.1343
 612000000.0000	  80.8666	   4.6127
 620000000.0000	  81.0139	   4.1933
 628000000.0000	  80.2214	   4.6856
 636000000.0000	  81.1076	   4.5114
 644000000.0000	  81.0901	   4.2602
 652000000.0000	  80.2929	   4.7804
 660000000.0000	  81.3631	   4.3691
 668000000.0000	  80.5903	   4.8068
 676000000.0000	  80.9984	   4.3601
 684000000.0000	  81.0726	   4.5959
 692000000.0000	  80.7244	   4.6179
 700000000.0000	  80.6363	   4.6390
 708000000.0000	  81.0863	   4.7213
 716000000.0000	  80.3969	   4.6945
 724000000.0000	  80.6806	   4.7342
 732000000.0000	  81.2781	   4.5073
 740000000.0000	  80.4972	   4.9936
 748000000.0000	  80.7306	   4.8609
 756000000.0000	  80.5139	   5.0603
 764000000.0000	  80.2789	   4.8568
 772000000.0000	  80.6517	   4.9042
 780000000.0000	  80.6571	   4.8379
 788000000.0000	  80.5689	   4.7172
 796000000.0000	  80.2697	   5.2011
 804000000.0000	  80.5629	   4.9579
 812000000.0000	  80.3203	   4.9677
 820000000.0000	  80.5952	   5.1380
 828000000.0000	  80.6584	   5.0860
 836000000.0000	  80.3003	   5.0534
 844000000.0000	  80.6009	   5.1865
 852000000.0000	  80.9215	   5.1387
 860000000.0000	  80.5611	   5.0115
 868000000.0000	  80.6104	   5.2316
 876000000.0000	  80.6454	   5.2265
 884000000.0000	  80.2751	   5.2762
 892000000.0000	  81.0687	   5.1477
 900000000.0000	  80.5857	   5.2976
