frequency	e'	e''
 100000000.0000	  50.5877	  37.8637
 108000000.0000	  50.9366	  35.9043
 116000000.0000	  50.9847	  34.5885
 124000000.0000	  50.9703	  32.8359
 132000000.0000	  51.4968	  31.6175
 140000000.0000	  50.8461	  30.5421
 148000000.0000	  52.3678	  28.7721
 156000000.0000	  51.2964	  28.0383
 164000000.0000	  51.1851	  27.0669
 172000000.0000	  51.5268	  25.9060
 180000000.0000	  51.3280	  25.4834
 188000000.0000	  51.2709	  24.9435
 196000000.0000	  51.5644	  23.8592
 204000000.0000	  50.5897	  23.8589
 212000000.0000	  50.2993	  23.2681
 220000000.0000	  50.2849	  22.4567
 228000000.0000	  50.3471	  22.2391
 236000000.0000	  49.9581	  21.8748
 244000000.0000	  50.0438	  21.2449
 252000000.0000	  50.4914	  20.7712
 260000000.0000	  49.3081	  20.9706
 268000000.0000	  49.8024	  20.3146
 276000000.0000	  49.7778	  19.9045
 284000000.0000	  49.5496	  19.9594
 292000000.0000	  49.4834	  19.7750
 300000000.0000	  49.5397	  19.6562
 308000000.0000	  49.7168	  19.5378
 316000000.0000	  49.2285	  19.6985
 324000000.0000	  49.6627	  19.6366
 332000000.0000	  49.1833	  19.5308
 340000000.0000	  49.1696	  19.0694
 348000000.0000	  49.2020	  18.9030
 356000000.0000	  48.7917	  19.0605
 364000000.0000	  49.3445	  18.6096
 372000000.0000	  49.0162	  18.5054
 380000000.0000	  49.0460	  18.3287
 388000000.0000	  48.6117	  18.4740
 396000000.0000	  48.3733	  18.5054
 404000000.0000	  47.9011	  18.5266
 412000000.0000	  47.7255	  18.4536
 420000000.0000	  47.8547	  18.0099
 428000000.0000	  47.8636	  17.7994
 436000000.0000	  47.7288	  17.8999
 444000000.0000	  47.6550	  17.7669
 452000000.0000	  47.9796	  17.6366
 460000000.0000	  47.5040	  17.6804
 468000000.0000	  47.0527	  17.8490
 476000000.0000	  47.3296	  17.5244
 484000000.0000	  46.9500	  17.7238
 492000000.0000	  46.9796	  17.5790
 500000000.0000	  46.6664	  17.6407
 508000000.0000	  47.1026	  17.4034
 516000000.0000	  47.0110	  17.3147
 524000000.0000	  46.7827	  17.3987
 532000000.0000	  46.9414	  17.1325
 540000000.0000	  46.4293	  17.5472
 548000000.0000	  46.6356	  17.2768
 556000000.0000	  46.5873	  17.1786
 564000000.0000	  46.9432	  17.2490
 572000000.0000	  46.3844	  17.2011
 580000000.0000	  46.5986	  17.2009
 588000000.0000	  46.4467	  17.3714
 596000000.0000	  45.7278	  17.3355
 604000000.0000	  46.1252	  17.0708
 612000000.0000	  46.0707	  17.4059
 620000000.0000	  46.0202	  17.0526
 628000000.0000	  45.8533	  17.2870
 636000000.0000	  46.4438	  17.1318
 644000000.0000	  45.7502	  17.0732
 652000000.0000	  45.5884	  17.3677
 660000000.0000	  45.9216	  17.2044
 668000000.0000	  45.0936	  17.2735
 676000000.0000	  45.8065	  17.0306
 684000000.0000	  45.3762	  17.2158
 692000000.0000	  45.1478	  16.9525
 700000000.0000	  45.1567	  17.2210
 708000000.0000	  45.2600	  16.9298
 716000000.0000	  44.6505	  17.0539
 724000000.0000	  45.2510	  17.0122
 732000000.0000	  45.0251	  16.7578
 740000000.0000	  44.2611	  16.9412
 748000000.0000	  44.9119	  16.8616
 756000000.0000	  44.0409	  16.8465
 764000000.0000	  44.4176	  16.7931
 772000000.0000	  44.2290	  16.9407
 780000000.0000	  43.8791	  16.7855
 788000000.0000	  43.9676	  16.6181
 796000000.0000	  43.8451	  16.8563
 804000000.0000	  43.7568	  16.5241
 812000000.0000	  43.4499	  16.7792
 820000000.0000	  43.8944	  16.6188
 828000000.0000	  43.0488	  16.6180
 836000000.0000	  43.4331	  16.5618
 844000000.0000	  43.1999	  16.7060
 852000000.0000	  43.0621	  16.7396
 860000000.0000	  43.2279	  16.5393
 868000000.0000	  43.0278	  16.8055
 876000000.0000	  42.9690	  16.5523
 884000000.0000	  42.7721	  16.7729
 892000000.0000	  43.1964	  16.6606
 900000000.0000	  42.4783	  16.6255
