frequency	e'	e''
 100000000.0000	  86.5628	 189.5794
 108000000.0000	  88.7825	 178.2723
 116000000.0000	  85.2180	 165.3594
 124000000.0000	  85.0562	 155.7941
 132000000.0000	  84.9014	 146.8287
 140000000.0000	  84.4824	 139.7400
 148000000.0000	  83.9491	 131.8198
 156000000.0000	  83.7702	 125.6055
 164000000.0000	  82.9866	 119.5601
 172000000.0000	  81.8481	 112.7426
 180000000.0000	  82.0499	 109.4503
 188000000.0000	  82.0965	 105.9944
 196000000.0000	  81.0890	 101.5554
 204000000.0000	  80.9811	  98.2455
 212000000.0000	  80.9491	  95.3439
 220000000.0000	  80.7430	  92.4265
 228000000.0000	  80.7918	  89.6127
 236000000.0000	  80.8113	  86.8054
 244000000.0000	  82.1462	  83.6745
 252000000.0000	  79.4307	  81.5090
 260000000.0000	  80.3709	  78.8686
 268000000.0000	  80.1475	  76.6228
 276000000.0000	  79.1669	  74.6925
 284000000.0000	  78.9385	  73.4300
 292000000.0000	  79.8504	  71.5462
 300000000.0000	  77.8169	  70.2396
 308000000.0000	  79.0081	  68.9189
 316000000.0000	  78.9412	  67.4301
 324000000.0000	  78.1443	  65.9230
 332000000.0000	  78.1653	  64.6854
 340000000.0000	  78.0734	  63.1838
 348000000.0000	  77.6659	  61.7396
 356000000.0000	  77.4573	  60.3702
 364000000.0000	  77.2539	  59.1976
 372000000.0000	  76.6531	  58.4345
 380000000.0000	  77.2296	  57.5213
 388000000.0000	  77.0437	  56.6617
 396000000.0000	  76.6529	  56.1504
 404000000.0000	  77.1237	  55.3767
 412000000.0000	  76.6850	  54.5266
 420000000.0000	  76.5938	  53.6701
 428000000.0000	  76.7558	  52.8708
 436000000.0000	  76.9055	  51.5094
 444000000.0000	  76.1598	  50.4904
 452000000.0000	  76.3917	  49.8936
 460000000.0000	  75.9235	  49.2610
 468000000.0000	  75.9395	  48.6448
 476000000.0000	  75.8769	  48.3033
 484000000.0000	  75.1945	  48.0498
 492000000.0000	  75.7583	  47.5754
 500000000.0000	  75.7948	  46.9471
 508000000.0000	  75.5747	  46.5420
 516000000.0000	  75.7580	  45.7553
 524000000.0000	  75.7581	  45.0582
 532000000.0000	  75.3277	  44.2168
 540000000.0000	  75.4470	  43.6817
 548000000.0000	  75.3188	  43.2976
 556000000.0000	  74.6825	  43.0828
 564000000.0000	  75.0010	  42.6285
 572000000.0000	  74.4628	  42.1757
 580000000.0000	  74.2997	  42.2599
 588000000.0000	  74.9718	  41.7854
 596000000.0000	  74.2232	  41.4668
 604000000.0000	  74.5300	  40.9652
 612000000.0000	  74.5179	  40.5760
 620000000.0000	  74.6632	  39.7059
 628000000.0000	  74.4329	  39.5262
 636000000.0000	  74.5158	  39.1612
 644000000.0000	  74.1459	  38.5595
 652000000.0000	  74.2283	  38.7042
 660000000.0000	  73.7350	  38.2483
 668000000.0000	  73.3043	  38.4770
 676000000.0000	  74.0620	  38.0040
 684000000.0000	  73.6554	  37.9497
 692000000.0000	  73.9150	  37.4455
 700000000.0000	  73.6514	  37.3186
 708000000.0000	  73.6729	  36.6372
 716000000.0000	  73.3079	  36.1641
 724000000.0000	  73.6457	  36.0342
 732000000.0000	  73.4733	  35.4443
 740000000.0000	  72.6927	  35.5335
 748000000.0000	  73.4217	  35.3724
 756000000.0000	  72.7276	  35.3961
 764000000.0000	  73.0622	  35.1666
 772000000.0000	  72.8603	  35.2860
 780000000.0000	  72.9354	  34.8112
 788000000.0000	  72.9626	  34.5186
 796000000.0000	  72.9354	  34.3158
 804000000.0000	  73.1026	  33.7023
 812000000.0000	  72.3796	  33.5805
 820000000.0000	  73.0976	  33.2578
 828000000.0000	  72.8766	  32.8589
 836000000.0000	  71.9970	  33.1306
 844000000.0000	  72.6554	  32.9305
 852000000.0000	  72.2283	  32.8585
 860000000.0000	  72.2222	  32.8506
 868000000.0000	  72.3301	  32.9846
 876000000.0000	  72.6372	  32.6524
 884000000.0000	  72.4342	  32.0912
 892000000.0000	  72.5803	  32.2292
 900000000.0000	  72.6599	  31.4348
