frequency	e'	e''
 100000000.0000	  76.9851	 162.4598
 108000000.0000	  81.9851	 152.6214
 116000000.0000	  82.2657	 143.8265
 124000000.0000	  80.8957	 142.3126
 132000000.0000	  77.7783	 135.1046
 140000000.0000	  73.7385	 127.0679
 148000000.0000	  72.8495	 118.8114
 156000000.0000	  71.6150	 108.8201
 164000000.0000	  74.0237	 101.7980
 172000000.0000	  77.3792	  97.4571
 180000000.0000	  79.5573	  95.4880
 188000000.0000	  79.6608	  94.0158
 196000000.0000	  78.5318	  92.8099
 204000000.0000	  74.8471	  89.3322
 212000000.0000	  72.6276	  84.6338
 220000000.0000	  72.1822	  79.2109
 228000000.0000	  73.4014	  74.9943
 236000000.0000	  75.6651	  71.4618
 244000000.0000	  77.2867	  70.4671
 252000000.0000	  77.5548	  70.8895
 260000000.0000	  76.2273	  70.5311
 268000000.0000	  74.7665	  69.5897
 276000000.0000	  73.7594	  67.1970
 284000000.0000	  72.7235	  63.6880
 292000000.0000	  73.6765	  59.9806
 300000000.0000	  73.9156	  58.1971
 308000000.0000	  75.4037	  57.1352
 316000000.0000	  76.8967	  56.9977
 324000000.0000	  76.1770	  57.3437
 332000000.0000	  75.2260	  57.0660
 340000000.0000	  73.8258	  55.8019
 348000000.0000	  72.9304	  53.3696
 356000000.0000	  72.8431	  51.4708
 364000000.0000	  73.7525	  49.2440
 372000000.0000	  74.8557	  48.0505
 380000000.0000	  75.4710	  48.4237
 388000000.0000	  75.6117	  48.5748
 396000000.0000	  75.0832	  48.7095
 404000000.0000	  73.3192	  47.8273
 412000000.0000	  72.5473	  46.5234
 420000000.0000	  72.8821	  44.5658
 428000000.0000	  73.3650	  43.2286
 436000000.0000	  74.6369	  42.2033
 444000000.0000	  75.6026	  42.1585
 452000000.0000	  75.8602	  42.4466
 460000000.0000	  75.1109	  42.7268
 468000000.0000	  74.1526	  42.2772
 476000000.0000	  72.7465	  41.1484
 484000000.0000	  71.9848	  39.9066
 492000000.0000	  72.4366	  38.3075
 500000000.0000	  73.2331	  37.6038
 508000000.0000	  73.8148	  37.5828
 516000000.0000	  75.0346	  37.8215
 524000000.0000	  74.8703	  38.4070
 532000000.0000	  74.1960	  38.1208
 540000000.0000	  73.6308	  37.2353
 548000000.0000	  73.0731	  36.3185
 556000000.0000	  72.5447	  34.7651
 564000000.0000	  73.3742	  33.7819
 572000000.0000	  73.3304	  33.2030
 580000000.0000	  73.7160	  33.6232
 588000000.0000	  73.4969	  33.9246
 596000000.0000	  73.2395	  34.4090
 604000000.0000	  72.6661	  34.1346
 612000000.0000	  72.4189	  33.5403
 620000000.0000	  72.4874	  32.4349
 628000000.0000	  72.9174	  31.5428
 636000000.0000	  73.6638	  30.9921
 644000000.0000	  74.0674	  30.7941
 652000000.0000	  73.9863	  31.3595
 660000000.0000	  73.2217	  31.3631
 668000000.0000	  72.1824	  31.4775
 676000000.0000	  71.7664	  30.9991
 684000000.0000	  71.1759	  30.2206
 692000000.0000	  71.7413	  29.5154
 700000000.0000	  72.5132	  29.1299
 708000000.0000	  73.4454	  28.9030
 716000000.0000	  73.6359	  29.1040
 724000000.0000	  74.0061	  29.6288
 732000000.0000	  73.3320	  29.3241
 740000000.0000	  71.8639	  29.1978
 748000000.0000	  71.9815	  28.3028
 756000000.0000	  71.1543	  27.4459
 764000000.0000	  71.3546	  26.7822
 772000000.0000	  72.2371	  26.5554
 780000000.0000	  72.6276	  26.8715
 788000000.0000	  72.8011	  27.2401
 796000000.0000	  72.6552	  27.8555
 804000000.0000	  72.4712	  27.5236
 812000000.0000	  71.5241	  27.2042
 820000000.0000	  71.8847	  26.3431
 828000000.0000	  71.8149	  25.2636
 836000000.0000	  71.9532	  24.8714
 844000000.0000	  72.5577	  24.8447
 852000000.0000	  72.4248	  25.2126
 860000000.0000	  72.1495	  25.5699
 868000000.0000	  71.6092	  25.8833
 876000000.0000	  70.9365	  25.7529
 884000000.0000	  70.5684	  25.2251
 892000000.0000	  71.2950	  24.6382
 900000000.0000	  71.7195	  23.9425
