frequency	e'	e''
 100000000.0000	  77.2021	  70.1743
 108000000.0000	  82.2797	  67.0822
 116000000.0000	  83.2537	  65.6910
 124000000.0000	  82.2163	  67.2603
 132000000.0000	  77.8924	  65.5278
 140000000.0000	  73.8514	  61.3326
 148000000.0000	  73.0135	  55.3639
 156000000.0000	  72.1938	  49.6009
 164000000.0000	  74.0443	  45.8517
 172000000.0000	  78.0606	  43.7227
 180000000.0000	  79.8486	  44.3103
 188000000.0000	  79.4664	  45.1371
 196000000.0000	  78.5205	  45.4158
 204000000.0000	  75.0635	  44.0813
 212000000.0000	  72.7332	  41.1655
 220000000.0000	  72.3893	  37.1547
 228000000.0000	  73.4577	  34.6405
 236000000.0000	  76.1525	  32.2143
 244000000.0000	  77.3021	  32.6524
 252000000.0000	  77.8335	  34.1817
 260000000.0000	  76.6496	  34.8973
 268000000.0000	  74.9475	  34.9047
 276000000.0000	  73.7088	  33.4995
 284000000.0000	  72.2888	  30.8315
 292000000.0000	  73.3390	  27.9229
 300000000.0000	  73.9108	  27.0464
 308000000.0000	  75.8266	  26.5503
 316000000.0000	  76.8317	  27.5208
 324000000.0000	  76.3775	  28.5831
 332000000.0000	  74.8192	  29.2566
 340000000.0000	  73.7522	  28.4058
 348000000.0000	  72.9348	  26.7866
 356000000.0000	  72.7853	  25.2872
 364000000.0000	  74.1496	  23.5541
 372000000.0000	  75.6361	  23.1553
 380000000.0000	  76.0727	  23.6806
 388000000.0000	  76.0467	  24.5173
 396000000.0000	  75.2174	  24.9373
 404000000.0000	  73.5752	  24.9941
 412000000.0000	  72.7714	  24.1634
 420000000.0000	  73.2268	  22.3049
 428000000.0000	  73.7785	  21.1931
 436000000.0000	  74.9220	  20.6858
 444000000.0000	  75.9416	  21.0228
 452000000.0000	  76.0654	  21.7146
 460000000.0000	  75.0234	  22.5282
 468000000.0000	  74.2411	  22.2927
 476000000.0000	  72.7494	  21.5837
 484000000.0000	  72.1113	  20.6509
 492000000.0000	  72.5030	  19.1856
 500000000.0000	  73.2745	  18.7869
 508000000.0000	  74.5673	  18.9067
 516000000.0000	  75.0063	  19.5381
 524000000.0000	  74.9528	  20.2406
 532000000.0000	  74.4231	  20.6463
 540000000.0000	  73.2674	  20.0097
 548000000.0000	  72.8673	  19.1570
 556000000.0000	  72.7092	  17.9799
 564000000.0000	  73.4921	  17.1604
 572000000.0000	  73.3894	  16.9544
 580000000.0000	  74.5680	  17.4243
 588000000.0000	  73.8110	  18.2785
 596000000.0000	  73.6817	  18.6131
 604000000.0000	  73.3584	  18.7406
 612000000.0000	  72.7967	  18.2524
 620000000.0000	  72.6701	  17.3415
 628000000.0000	  73.3951	  16.7949
 636000000.0000	  74.2536	  16.1540
 644000000.0000	  74.0953	  16.4563
 652000000.0000	  74.7196	  16.8250
 660000000.0000	  73.5814	  17.4315
 668000000.0000	  73.0497	  17.4092
 676000000.0000	  72.1632	  17.3688
 684000000.0000	  71.5375	  16.6662
 692000000.0000	  72.1513	  15.8157
 700000000.0000	  73.0869	  15.7597
 708000000.0000	  73.8938	  15.5144
 716000000.0000	  74.3966	  16.2493
 724000000.0000	  74.8050	  16.5374
 732000000.0000	  73.5576	  16.7457
 740000000.0000	  72.7725	  16.7141
 748000000.0000	  72.5637	  15.8380
 756000000.0000	  71.6174	  15.2474
 764000000.0000	  72.4363	  14.5388
 772000000.0000	  72.7734	  14.6752
 780000000.0000	  73.3460	  14.8197
 788000000.0000	  73.4255	  15.5903
 796000000.0000	  73.4732	  16.1915
 804000000.0000	  73.0754	  15.9526
 812000000.0000	  72.4775	  15.8300
 820000000.0000	  72.7161	  14.8556
 828000000.0000	  72.1131	  14.2440
 836000000.0000	  72.9714	  13.7104
 844000000.0000	  73.0665	  14.0068
 852000000.0000	  73.0702	  14.2445
 860000000.0000	  73.0514	  14.8400
 868000000.0000	  72.2573	  15.3947
 876000000.0000	  71.6442	  15.1126
 884000000.0000	  71.5729	  14.7968
 892000000.0000	  72.1926	  14.0920
 900000000.0000	  72.2801	  13.8151
