frequency	e'	e''
 100000000.0000	  75.8739	  22.6458
 108000000.0000	  81.8565	  23.4301
 116000000.0000	  83.2641	  27.1135
 124000000.0000	  81.0229	  31.3920
 132000000.0000	  75.5778	  32.2392
 140000000.0000	  69.8283	  30.7313
 148000000.0000	  68.8431	  24.7003
 156000000.0000	  69.0677	  19.7436
 164000000.0000	  72.4983	  16.6657
 172000000.0000	  76.7097	  16.3725
 180000000.0000	  79.1276	  18.8167
 188000000.0000	  78.5986	  21.6362
 196000000.0000	  76.1292	  23.4944
 204000000.0000	  72.5333	  22.5407
 212000000.0000	  69.6362	  19.8862
 220000000.0000	  69.0568	  16.0538
 228000000.0000	  70.9173	  13.1795
 236000000.0000	  73.7877	  12.1526
 244000000.0000	  75.3056	  14.0236
 252000000.0000	  76.1330	  16.6467
 260000000.0000	  75.2339	  18.2935
 268000000.0000	  73.0947	  18.8616
 276000000.0000	  71.2391	  17.4153
 284000000.0000	  69.7349	  15.1081
 292000000.0000	  70.7042	  12.1238
 300000000.0000	  71.6301	  11.4112
 308000000.0000	  73.7757	  11.3792
 316000000.0000	  74.7969	  12.9663
 324000000.0000	  74.0839	  15.1180
 332000000.0000	  72.8589	  15.8522
 340000000.0000	  71.2640	  15.6137
 348000000.0000	  70.5505	  13.8601
 356000000.0000	  70.4963	  12.3057
 364000000.0000	  71.7663	  10.9732
 372000000.0000	  73.0452	  11.0737
 380000000.0000	  73.8887	  11.9499
 388000000.0000	  74.0252	  12.9895
 396000000.0000	  73.1137	  14.0542
 404000000.0000	  71.1909	  13.8722
 412000000.0000	  70.1231	  13.0065
 420000000.0000	  70.2783	  11.4341
 428000000.0000	  71.5186	  10.3818
 436000000.0000	  72.7428	  10.2126
 444000000.0000	  74.0725	  10.9340
 452000000.0000	  74.3964	  12.1491
 460000000.0000	  73.5331	  13.1172
 468000000.0000	  72.2837	  13.2401
 476000000.0000	  70.4167	  12.5735
 484000000.0000	  69.8968	  11.2300
 492000000.0000	  70.1387	   9.8904
 500000000.0000	  71.0427	   9.4995
 508000000.0000	  72.1725	  10.0429
 516000000.0000	  73.5219	  10.9273
 524000000.0000	  73.3862	  12.2391
 532000000.0000	  72.6886	  12.6314
 540000000.0000	  71.5296	  12.1815
 548000000.0000	  71.0867	  11.4471
 556000000.0000	  70.6212	  10.1442
 564000000.0000	  71.3993	   9.0977
 572000000.0000	  71.2815	   9.1704
 580000000.0000	  72.1737	   9.7018
 588000000.0000	  72.1055	  10.5828
 596000000.0000	  71.6045	  11.4211
 604000000.0000	  70.9198	  11.5474
 612000000.0000	  70.4855	  11.1723
 620000000.0000	  70.4270	  10.2887
 628000000.0000	  70.9945	   9.7276
 636000000.0000	  72.1897	   9.1282
 644000000.0000	  72.4462	   9.4819
 652000000.0000	  72.5084	  10.2689
 660000000.0000	  71.7890	  10.7584
 668000000.0000	  70.5040	  11.0484
 676000000.0000	  69.8877	  10.7082
 684000000.0000	  69.2348	  10.1154
 692000000.0000	  69.7115	   9.1994
 700000000.0000	  70.7713	   9.2001
 708000000.0000	  71.7937	   9.3157
 716000000.0000	  72.1039	  10.0837
 724000000.0000	  72.5161	  10.7909
 732000000.0000	  71.7289	  10.8794
 740000000.0000	  70.2101	  10.9397
 748000000.0000	  70.0149	   9.9764
 756000000.0000	  69.2348	   9.2486
 764000000.0000	  69.4299	   8.5059
 772000000.0000	  70.4800	   8.4485
 780000000.0000	  71.0008	   9.0628
 788000000.0000	  71.2884	   9.8022
 796000000.0000	  71.1204	  10.7479
 804000000.0000	  70.8218	  10.6652
 812000000.0000	  69.7901	  10.5578
 820000000.0000	  70.0234	   9.6542
 828000000.0000	  70.0326	   8.7178
 836000000.0000	  70.2492	   8.3123
 844000000.0000	  70.9790	   8.4415
 852000000.0000	  70.6732	   9.0373
 860000000.0000	  70.5916	   9.6553
 868000000.0000	  69.8725	  10.3330
 876000000.0000	  69.2442	  10.2405
 884000000.0000	  68.8536	   9.7595
 892000000.0000	  69.5980	   9.1975
 900000000.0000	  70.2408	   8.6232
