Frequency;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
100;0.3155706139708179;0.45927512968161316;0.5672405346522805;0.5903321348037003;0.5771457299630525;0.6316845727999233;0.6882076443001642;0.8027236000469897;0.8822038262985622;0.9078719566414647;1.0483312385570283;1.2597491336617483;1.481977180701282;1.675884536014656;1.9154330448661003;2.450382019720376
108;0.3373466593919072;0.47161936111843145;0.5699010329501909;0.5951273590186298;0.5816138494467772;0.6373305897596425;0.6964294125952555;0.8100308948381322;0.8916324729346492;0.9174418061816111;1.0560202692722942;1.2698158711475889;1.4933034917072752;1.6846267804690844;1.9250953112470575;2.45981783925036
116;0.39609809014904696;0.48934016980667644;0.5621859142640498;0.5894753189049866;0.5763756044583156;0.6347629830338869;0.6979206995172266;0.8128734526063743;0.8930020506083639;0.919250310071018;1.0566999732913993;1.2655805851349464;1.4813774985843093;1.6724820622971583;1.9061290226254275;2.428188900560762
124;0.4659850121650206;0.5286736644100167;0.5773775694653838;0.6085467901899685;0.5946282680227936;0.6598497974286786;0.7289098487089816;0.8490344511575597;0.9315814122191104;0.9605693462666008;1.098239440601709;1.310555942798748;1.5315407945494883;1.7249868445149188;1.9646931421967448;2.4945758731625447
132;0.5154045598857506;0.5447460055954428;0.5816757351280425;0.6143560257198141;0.5988876763218408;0.6666060107241659;0.7374157140426041;0.8587670593718432;0.9431739881675351;0.970400260957429;1.109929707359467;1.325021325803225;1.543742346964475;1.7373473725886468;1.976742550633734;2.5075988146497177
140;0.5118242547739515;0.5416996174741512;0.5825018121722477;0.6147815036866585;0.6007400261014499;0.6677421615126186;0.737104750177087;0.8565091035827318;0.9427731294714707;0.9697991768994569;1.1087211452057362;1.3217390703808576;1.542595403455629;1.7366956925541779;1.974233306192552;2.5064371099631515
148;0.46028799867423337;0.5265703004323946;0.5860571197117269;0.6177911446348724;0.605630359774031;0.6654322523120748;0.7349736960103045;0.8527581251351742;0.9382854199021385;0.9648061899914652;1.1063133300832193;1.3247853472369904;1.5486273324917617;1.7448120334025685;1.9876805462358869;2.5272300535304097
156;0.39289147278155917;0.49848152980301635;0.5860786532287728;0.6124372580581419;0.6015058790240929;0.6566082798897471;0.7173544279058834;0.8344524177607083;0.9156608737985287;0.9413517986636091;1.0801574874613762;1.2948984648840274;1.5167640619602778;1.7133046852783913;1.9511989408387642;2.485855533109025
164;0.3554868783870094;0.4839026489189946;0.5895884384829918;0.6104520057553117;0.5965316069157935;0.6502920461201208;0.7116872334776261;0.82328095076723;0.9081192916715635;0.9304256268389869;1.0691481857278555;1.2825257718196152;1.5066179775809339;1.6998101946309978;1.9370171727237973;2.4731912659874173
172;0.3659368872561633;0.48919902624403494;0.5877197475604091;0.6116915144585137;0.5993040602163813;0.6534156448438685;0.713219391801224;0.8270830518463691;0.910116026538771;0.9347234809592012;1.0728769111436747;1.2870637361522907;1.509847493318081;1.7030929915438044;1.9430189414842467;2.4779737540505153
180;0.4139174055911221;0.5136862030279175;0.591790005089677;0.6195307457203388;0.6018198915549582;0.66229862488869;0.7266243510842552;0.8420401452578222;0.9260401106090762;0.9513394711276817;1.0917084799111585;1.3036996502018543;1.5257126958664056;1.7185606956038573;1.9614649987298887;2.495307775376432
188;0.48463241484183456;0.5413989270916202;0.5951825539550191;0.6215254481439807;0.607966149250487;0.67307818632254;0.7409444069561236;0.8578971512727899;0.9410958072041637;0.9722968720171666;1.1094067536959293;1.3197950010220982;1.5407376981130483;1.7343881792633848;1.9738055213280836;2.500804251962867
196;0.5377911098149147;0.5638032942815298;0.5963466026275949;0.6283229037249572;0.6149604328971925;0.6830274723068636;0.75732395866238;0.8798527712423335;0.9632202831785409;0.9926515940480715;1.1328085166037234;1.3498857879048831;1.571581987485861;1.7650924748135297;2.0087463935667116;2.544287284229883
204;0.5476890803080487;0.5669476550838898;0.6009255644624102;0.6342815461098966;0.6212702429583237;0.6873406068422053;0.7615206208296014;0.8810847139147442;0.9656226240552502;0.9923723259174274;1.1353078881164909;1.353617762263336;1.5717600488281571;1.7643359607465394;2.0046739552403334;2.537728440490564
212;0.5082929805087502;0.5523199881366196;0.603903086868148;0.6387094617829469;0.6250507066729355;0.6858190557970696;0.756361967517992;0.8762726515724656;0.9566471307398136;0.9817827311978538;1.1271140399585546;1.3435830765608767;1.5633359856392064;1.7550499782969295;1.9951296373452683;2.5301063914008313
220;0.4407026381273089;0.5258301275083781;0.6031624911365284;0.636521973927675;0.6203348590222179;0.6745221410460029;0.743363378265219;0.8576714906956048;0.9425941780079051;0.9636904229800852;1.1074765702289753;1.3231266210865398;1.545345025145653;1.7398882237525755;1.9786311357666915;2.51485231644547
228;0.39290199846557156;0.5070194617553743;0.605886254803672;0.6353419920843743;0.6200219813959712;0.6719960288067628;0.7379489411891275;0.8475630806989948;0.9273921158053948;0.9515927773879637;1.097878288731944;1.3110895927528745;1.5364549241306753;1.7282434125209825;1.968689445483868;2.508816010979763
236;0.37891389848582696;0.49692738548406057;0.6017984544677165;0.6273309822528805;0.6116834959494103;0.6660685109955485;0.7256120235820739;0.8392836547986683;0.9197460631120933;0.9403262231898659;1.0872696602525564;1.2996779191171315;1.5228942084608275;1.7151910228551428;1.956541923429943;2.491443588338742
244;0.4238871124409045;0.5147714537151065;0.6066820158009717;0.633344752815114;0.6176546148674781;0.6717180810226688;0.7356971569074853;0.853624316977927;0.9299379516484326;0.9577119753968981;1.0960947749971799;1.3104545654038235;1.5330852068758973;1.7267020340245676;1.9636540665504139;2.496425107517711
252;0.4974983908607991;0.5504581140594261;0.612783737762314;0.6402113114773166;0.6261017099442784;0.6889021243323438;0.7605053262565216;0.8757201087943929;0.9581855495830074;0.9842420250004597;1.1258749837336646;1.340359806507971;1.5641535175192238;1.7582915032535382;1.9979047165036017;2.5347883031781477
